STATION_ID,STATION_NAME,FULL_STATION_NAME,STATION_NUMBER,LATITUDE,LONGITUDE,COUNTY_NAME
2251,OLD R A ORWOOD RR BR,OLD R A ORWOOD RR BR,B9D75641335,37.9399,-121.56,San Joaquin
2252,MIDDLE R A MIDDLE R ,MIDDLE R A MIDDLE R,B9D75661320,37.9427,-121534,San Joaquin
2253,OLD R A PALM TRACT  ,OLD R A PALM TRACT,B9D75661339,37.9433,-121566,Contra Costa
2254,MORMAN SLU A WASHING,MORMAN SLU A WASHINGTON ST-STOCKT,B9D75701180,37.9488,-121301,San Joaquin
2255,MORMAN SLU A MO     ,MORMAN SLU A MO,B9D75711186,37.9516,-121311,San Joaquin
2256,STOCKTON SHIP CH A L,STOCKTON SHIP CH A LIGHT 48,B9D75711202,37.9519,-121338,San Joaquin
2257,STOCKTON DEEP WATER ,STOCKTON DEEP WATER CH TURN BASIN,B9D75721192,37.9524,-121321,San Joaquin
2258,STOCKTON SHIP CH A S,STOCKTON SHIP CH A SMITH CA,B9D75751212,37.9574,-121354,San Joaquin
2259,STOCKTON SHIP CH A B,STOCKTON SHIP CH A BURNS CUTOFF,B9D75781219,37.9627,-121366,San Joaquin
2260,WHISKEY SLU AB EMPIR,WHISKEY SLU AB EMPIRE CUT,B9D75801278,37.9671,-121465,San Joaquin
2261,CALAVERAS R NR MO   ,CALAVERAS R NR MO,B9D75811213,37.9683,-121356,San Joaquin
2262,STOCKTON SHIP CH A L,STOCKTON SHIP CH A LIGHT 41,B9D75811222,37.9683,-121372,San Joaquin
2263,EMPIRE CUT - WEST OF,EMPIRE CUT - WEST OF WHISKY SL,B9D75831289,37971,-121482,San Joaquin
2264,ROCK SLU A CONTRA CO,ROCK SLU A CONTRA COSTA CA IT,B9D75861383,37.9763,-121.64,Contra Costa
2265,CONTRA COSTA CA A RO,CONTRA COSTA CA A ROCK SLU,B9D75861384,37.9763,-121641,Contra Costa
2266,LATHAM SLU A MILDRED,LATHAM SLU A MILDRED ISL PU IT,B9D75901310,37.9827,-121517,San Joaquin
2267,STOCKTON SHIP CH A L,STOCKTON SHIP CH A LIGHT 36,B9D75911236,37.9855,-121394,San Joaquin
2268,OLD R NR ROCK SLU   ,Old River near Rock Slough,B9D75941348,37.9902,-121581,Contra Costa
2269,14 MI SLU NR CUMBERL,14 MI SLU NR CUMBERLAND X 14MI RD,B9D75961214,37.9941,-121358,San Joaquin
2270,STOCKTON SHIP CH BY ,STOCKTON SHIP CH BY MORRISON ISL,B9D75971246,37.9941,-121411,San Joaquin
2271,STOCKTON SHIP CH ON ,STOCKTON SHIP CH ON RINDGE ISL,B9D75971259,37.9974,-121433,San Joaquin
2272,SAN JOAQUIN R A RING,SAN JOAQUIN R A RINGE PUMP,B9D75981251,37.9974,-121419,San Joaquin
2273,TURNER CUT A MO     ,TURNER CUT A MO,B9D75981266,37.9963,-121444,San Joaquin
